id,label,type,color,size,degree
http://dbpedia.org/ontology/lowestAltitude,lowest altitude,ObjectProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/otherChannel,other channel,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfDeaths,number of deaths,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/power,power,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/minimumAreaQuote,minimum area quote,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/DBpedian,DBpedian,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/coachClub,coach club,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/areaLand,area land (m2),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfRockets,number of rockets,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/redline,redline (kmh),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/birthYear,birth year,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/nextMission,next mission,ObjectProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/committeeInLegislature,committee in legislature,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/goldMedalSingle,gold medal single,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfSpans,number of spans,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/BodyOfWater,body of water,Class,#FF6B6B,5,8
http://dbpedia.org/ontology/OlympicEvent,olympic event,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/Olympics,olympics,Class,#FF6B6B,5,4
http://dbpedia.org/ontology/electionDateLeader,election date leader,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/ofsCode,ofs code of a settlement,DatatypeProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/crew,crew,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/playRole,play role,ObjectProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/sexualOrientation,sexual orientation,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/startOccupation,start occupation,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/senior,senior,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/thirdDriver,third driver,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/populationRural,population rural,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/leagueManager,league manager,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/internationalPhonePrefix,international phone prefix,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/greenSkiPisteNumber,green ski piste number,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Cyclist,cyclist,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/roofHeight,roof height,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Youtuber,Youtuber,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/VideogamesLeague,videogames league,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/Manga,manga,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/apoapsis,apoapsis (μ),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfOffices,number of offices,DatatypeProperty,#BDC3C7,5,2
