source,target,source_label,target_label,predicate,predicate_label,edge_type
http://dbpedia.org/ontology/rankArea,literal_-8741895918022463173,rank of an area,"""rank of an area""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/model,literal_8188062188017130449,model,"""model""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/casSupplemental,http://www.w3.org/2002/07/owl#DatatypeProperty,CAS supplemental,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/subsystemLink,http://www.w3.org/2002/07/owl#DatatypeProperty,subsystem link,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Animal,literal_78854560489366349,animal,"""animal""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/managerTitle,literal_-1368334110393228043,manager title,"""manager title""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/countryWithFirstSatellite,literal_4768827053349361659,country with first satellite,"""country with first satellite""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Dike,http://www.w3.org/2002/07/owl#Class,dike,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/highestPlace,http://www.w3.org/2002/07/owl#ObjectProperty,highest place,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/championInSingleFemale,literal_8085430226387084471,champion in single female,"""champion in single female""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/numberOfOrbits,literal_7864481147618510133,number of orbits,"""number of orbits""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/PersonalEvent,http://dbpedia.org/ontology/LifeCycleEvent,personal event,life cycle event,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/nameInSimplifiedChinese,http://www.w3.org/2002/07/owl#DatatypeProperty,name in Simplified Chinese,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/impactFactorAsOf,http://www.w3.org/2002/07/owl#DatatypeProperty,impact factor as of,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/numberOfHoles,http://www.w3.org/2002/07/owl#DatatypeProperty,number of holes,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Cycad,http://dbpedia.org/ontology/Plant,cycad,plant,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/massif,http://www.w3.org/2002/07/owl#ObjectProperty,massif,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/bustSize,literal_-4665564186702385828,bust size (μ),"""bust size (μ)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/redListIdNL,literal_-5837364351029639451,red list ID NL,"""red list ID NL""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Continent,literal_7037021861532763213,continent,"""continent""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/motto,literal_1049195262075335811,motto,"""motto""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/family,http://www.w3.org/2002/07/owl#ObjectProperty,family,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Family,literal_2356483109468149879,family,"""family""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/medication,literal_2613522942951919428,medication,"""medication""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/isniId,literal_-606204927198058889,ISNI Id,"""ISNI Id""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/boxerStyle,http://www.w3.org/2002/07/owl#ObjectProperty,boxing style,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
